converge_iter,n_cpu,n_init,n_label,neighborhood_type,obj_val,time
48,56,10,19,complete,11.587947357554391,321.36327266693115
45,56,10,20,complete,12.201078517667527,322.2579777240753
45,56,10,21,complete,12.349955441053032,340.8270790576935
41,56,10,22,complete,12.704968088448627,278.2806029319763
43,56,10,23,complete,13.057813145855,271.502557516098
47,56,10,24,complete,14.164708656402215,393.0410318374634
43,56,10,25,complete,14.672982102845932,340.08039379119873
41,56,10,26,complete,15.148837659204618,350.32598781585693
35,56,10,27,complete,15.670958539619106,265.2338378429413
42,56,10,28,complete,16.019024611249762,368.9718191623688
36,56,10,29,complete,16.302108982239734,286.4413175582886
35,56,10,30,complete,17.028180905005364,315.78837990760803
33,56,10,31,complete,17.300657052229994,262.1316521167755
34,56,10,32,complete,17.866312914225606,266.2482793331146
28,56,10,33,complete,18.19018183287452,259.3789689540863
29,56,10,34,complete,18.790060408713558,213.77646279335022
23,56,10,35,complete,19.16400603051169,203.55247282981873
24,56,10,36,complete,19.68120813714468,179.60557556152344
29,56,10,37,complete,20.39325736802749,198.1925528049469
24,56,10,38,complete,20.437751926429122,159.0459520816803
24,56,10,39,complete,20.95839785880492,134.9558162689209
21,56,10,40,complete,21.36427991954027,134.54784297943115
20,56,10,41,complete,21.521628168242238,120.4979772567749
22,56,10,42,complete,22.154598730691607,111.54725360870361
14,56,10,43,complete,22.33672379627767,109.12271738052368
21,56,10,44,complete,22.650494449210058,85.38294339179993
17,56,10,45,complete,23.09401052955731,60.66024351119995
16,56,10,46,complete,23.42714985951352,51.63417863845825
18,56,10,47,complete,23.774168240023076,46.70291352272034
13,56,10,48,complete,24.29360420341326,26.661519765853882
12,56,10,49,complete,24.758896190279586,22.338751316070557
7,56,10,50,complete,24.941530186355767,13.495718002319336
7,56,10,51,complete,25.318316703184735,10.767990589141846
9,56,10,52,complete,25.858762889107357,7.151650428771973
7,56,10,53,complete,26.10689738902167,4.137627124786377
4,56,10,54,complete,26.40602871460916,1.1124963760375977
